id,date_achieved,stage,difficulty,stage_time,system,video_id,comments
39,8/31/19,Caverns,Agent,0:10:27,NTSC,,"I finally found keycard C

Edit: just noticed this time put me in 666th place in total time. Gotta fix that."
40,8/31/19,Cradle,Agent,0:03:28,NTSC,,Trev can suck a big one
41,8/31/19,Silo,Agent,0:05:32,NTSC,,
42,9/5/19,Streets,Agent,0:01:17,NTSC,dLLO7T8SXXU,2.2 ftw
43,10/25/19,Cradle,Secret Agent,0:01:53,NTSC,,"I can't remember when I got this time, but I figure I should post it here before I forget again. It was at least after I got my Cradle A PB, so I must have gotten this in early September."
44,10/26/19,Archives,Agent,0:00:46,NTSC,,
45,10/26/19,Archives,Agent,0:00:36,NTSC,KEFTbGRkATc,
46,10/26/19,Caverns,Agent,0:01:42,NTSC,FDnXhjdrUO4,Caught up to Trev
47,10/26/19,Control,Agent,0:08:54,NTSC,DbORuylYe0Q,
48,10/27/19,Facility,Secret Agent,0:12:52,NTSC,,"I got this time, as well as Runway SA 1:20 and S1 SA 9:24, on the same day. I unfortunately don't have a recording for any of these, but it was in late August or early September."
49,10/27/19,Runway,Secret Agent,0:01:20,NTSC,,"I got this time, as well as Facility SA 12:52 and S1 SA 9:24, on the same day. I unfortunately don't have a recording for any of these, but it was in late August or early September."
50,10/27/19,Surface 1,Secret Agent,0:09:24,NTSC,,"I got this time, as well as Facility SA 12:52 and Runway SA 1:20, on the same day. I unfortunately don't have a recording for any of these, but it was in late August or early September."
51,10/27/19,Runway,Secret Agent,0:01:10,NTSC,PXDaHNGBLM0,
52,10/27/19,Facility,Secret Agent,0:07:52,NTSC,JZPFlKN5ShQ,
53,10/27/19,Surface 1,Secret Agent,0:06:55,NTSC,-ka65kxECDE,
54,10/27/19,Surface 1,Secret Agent,0:04:17,NTSC,vxeh_bsJmqg,I'm gunning for the cheat time!
55,10/27/19,Surface 1,Secret Agent,0:02:38,NTSC,J8ucFGXCcz4,No [New Cheat Available] because of button codes existing. I think I'll start a new file so I can unlock the cheats fair and square.
56,10/27/19,Dam,Secret Agent,0:01:36,NTSC,iMdX52ayQOU,[New Cheat Available] swag!
57,10/27/19,Facility,Secret Agent,0:04:58,NTSC,,
58,10/27/19,Surface 1,Secret Agent,0:02:25,NTSC,jg0gq9foyD8,
59,10/27/19,Facility,Secret Agent,0:04:35,NTSC,Oae1EnUm8JQ,
60,10/27/19,Bunker 1,Agent,0:00:53,NTSC,,
61,10/27/19,Silo,Agent,0:05:10,NTSC,BhZf1IM06Vg,
62,10/27/19,Frigate,Agent,0:02:23,NTSC,gK055306PRQ,
63,10/27/19,Surface 2,Agent,0:04:54,NTSC,5SabO_ye4Hc,
64,10/27/19,Bunker 2,Agent,0:01:49,NTSC,DtaQ19ZAq-Q,
65,10/27/19,Statue,Agent,0:04:06,NTSC,Cf6QQi1yspk,
66,10/27/19,Depot,Agent,0:01:03,NTSC,-VPVNgkR9BI,
67,10/27/19,Jungle,Agent,0:04:22,NTSC,gJfHYiLKUog,
68,10/27/19,Control,Agent,0:08:32,NTSC,LpXy5CJuzK8,
69,10/27/19,Cradle,Agent,0:01:41,NTSC,W69wXRgsOzg,
70,10/27/19,Runway,Secret Agent,0:00:48,NTSC,6jbxyZrB92g,Why did I press B? LUL
71,11/2/19,Silo,Agent,0:04:52,NTSC,Eg5VytBaA2Q,From my very first single segment run.
72,11/2/19,Frigate,Agent,0:01:00,NTSC,GP5MPPO2G_E,From my very first single segment run.
73,11/2/19,Surface 2,Agent,0:02:59,NTSC,kT6J_rTChxA,From my very first single segment run.
74,11/2/19,Bunker 2,Agent,0:01:47,NTSC,dUCAfXqe-Mw,From my very first single segment run.
75,11/2/19,Statue,Agent,0:03:48,NTSC,p7Oe5HiCuiQ,From my very first single segment run.
76,11/2/19,Caverns,Agent,0:01:34,NTSC,OMC5ZZmQARM,From my very first single segment run.
77,11/2/19,Cradle,Agent,0:01:20,NTSC,f6wsc5Qs168,From my very first single segment run.
78,11/2/19,Bunker 1,Agent,0:00:40,NTSC,iK6s_WEGl9w,
79,11/2/19,Cradle,Secret Agent,0:01:36,NTSC,ISeghieDT8I,
80,11/17/19,Dam,00 Agent,0:06:41,NTSC,mv1yLVggIZE,
81,11/25/19,Cradle,Secret Agent,0:01:09,NTSC,o7_z6gKYqoE,
82,11/25/19,Cradle,00 Agent,0:01:32,NTSC,bZSstuGrzOk,
83,11/25/19,Streets,Agent,0:01:16,NTSC,RDW751584dU,"3:44.20

With the cutscene at the start, this gives a 1:16.65 or so"
84,11/25/19,Cradle,Agent,0:01:12,NTSC,V0kIjS0FRpw,
85,11/25/19,Cradle,Agent,0:00:58,NTSC,mt4o4Mk8N9A,
