id,date_achieved,stage,difficulty,stage_time,system
58,10/28/19,Defection,Agent,0:00:56,n
59,10/28/19,Defection,Special Agent,0:01:42,n
60,10/28/19,Defection,Special Agent,0:01:30,n
61,11/1/19,Duel,Agent,0:00:05,n
62,11/1/19,Duel,Agent,0:00:04,n
63,11/3/19,Investigation,Agent,0:02:24,n
64,11/3/19,Investigation,Special Agent,0:05:23,n
65,11/3/19,Investigation,Special Agent,0:05:15,n
66,11/3/19,Investigation,Special Agent,0:04:01,n
67,11/4/19,Extraction,Agent,0:02:04,n
68,11/4/19,Extraction,Agent,0:01:36,n
69,11/4/19,Extraction,Special Agent,0:03:46,n
70,11/4/19,Villa,Special Agent,0:04:50,n
71,11/4/19,Chicago,Agent,0:02:32,n
72,11/4/19,Chicago,Agent,0:02:30,n
73,11/4/19,Chicago,Agent,0:01:57,n
74,11/4/19,Chicago,Special Agent,0:01:56,n
75,11/5/19,G5,Special Agent,0:02:49,n
76,11/5/19,Infiltration,Agent,0:05:17,n
77,11/5/19,Infiltration,Agent,0:02:28,n
78,11/5/19,G5,Special Agent,0:06:56,n
79,11/5/19,Escape,Agent,0:04:15,n
80,11/5/19,Escape,Agent,0:04:05,n
81,11/5/19,Escape,Agent,0:03:37,n
82,11/5/19,Defection,Agent,0:00:53,n
83,11/5/19,Defection,Agent,0:00:47,n
84,11/5/19,Defection,Agent,0:00:43,n
85,11/6/19,Air Base,Agent,0:03:03,n
86,11/6/19,Air Force One,Agent,0:03:15,n
87,11/6/19,Crash Site,Agent,0:03:25,n
88,11/7/19,CI,Agent,0:02:54,n
89,11/7/19,Attack Ship,Agent,0:12:11,n
90,11/7/19,Attack Ship,Agent,0:04:25,n
91,11/7/19,Skedar Ruins,Agent,0:06:41,n
92,11/8/19,MBR,Agent,0:03:08,n
93,11/9/19,Pelagic II,Special Agent,0:07:45,n
94,11/10/19,Duel,Special Agent,0:00:24,n
95,11/10/19,Duel,Perfect Agent,0:00:33,n
96,11/10/19,Duel,Special Agent,0:00:13,n
97,11/10/19,Duel,Special Agent,0:00:11,n
98,11/10/19,Duel,Perfect Agent,0:00:30,n
99,11/10/19,Duel,Perfect Agent,0:00:26,n
100,11/10/19,Duel,Perfect Agent,0:00:22,n
101,11/10/19,Duel,Agent,0:00:03,n
102,11/16/19,Rescue,Special Agent,0:05:43,n
103,12/22/19,Escape,Special Agent,0:08:07,n
104,12/22/19,Air Base,Special Agent,0:04:08,n
105,1/10/20,Investigation,Agent,0:02:13,j
106,1/10/20,Villa,Agent,0:02:21,j
107,1/10/20,Chicago,Agent,0:01:39,j
108,1/10/20,Air Base,Agent,0:03:02,j
109,1/11/20,Skedar Ruins,Agent,0:06:32,j
110,1/11/20,Investigation,Agent,0:01:46,j
111,1/11/20,Villa,Agent,0:01:55,j
112,1/11/20,Chicago,Agent,0:01:37,j
113,1/11/20,Air Base,Agent,0:02:38,j
114,1/11/20,Skedar Ruins,Agent,0:05:05,j
115,1/21/20,Chicago,Agent,0:00:30,j
116,1/21/20,Chicago,Agent,0:00:27,j
117,1/21/20,Defection,Perfect Agent,0:08:36,j
118,1/21/20,Chicago,Special Agent,0:01:27,j
119,1/28/20,Investigation,Agent,0:01:43,j
120,1/28/20,Investigation,Agent,0:01:40,j
121,1/28/20,Investigation,Agent,0:01:39,j
122,1/29/20,Investigation,Agent,0:01:38,j
123,1/29/20,Investigation,Agent,0:01:38,n
124,1/29/20,Investigation,Agent,0:01:37,j
125,1/29/20,Investigation,Agent,0:01:33,j
126,1/31/20,Defection,Special Agent,0:01:00,j
127,1/31/20,Investigation,Agent,0:01:32,j
128,1/31/20,Investigation,Agent,0:01:30,j
129,2/8/20,Air Force One,Special Agent,0:03:56,j
130,2/8/20,Crash Site,Special Agent,0:04:57,j
131,2/8/20,Deep Sea,Special Agent,0:08:19,j
132,2/8/20,CI,Special Agent,0:04:53,j
133,2/9/20,Attack Ship,Special Agent,0:08:09,j
134,2/11/20,Infiltration,Special Agent,0:06:23,j
135,2/12/20,Escape,Special Agent,0:06:58,j
136,2/13/20,Skedar Ruins,Agent,0:03:08,j
137,2/13/20,Skedar Ruins,Agent,0:02:16,j
138,2/14/20,Skedar Ruins,Special Agent,0:04:14,j
